,name,sfx,gfx,grid,vfx,grid2,times,xsize,info,mp_cost,effects,effects_ratio,effects_target,damage,damage_target,category,element
psychokinesis_ex_windm,念动力场-风,念动力场,,16,psychokinesis-wind_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，对敌方全体造成攻击150%风元素伤害。,-30,伤害,empty:0,empty,1.5,AOE,General_attack,wind

psychokinesis-fire,念动力场-火,念动力场,,16,psychokinesis-fire_img,60.0,19,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击100%火元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击105%火元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击110%火元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击115%火元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击125%火元素伤害。,0,伤害,empty:0,empty,1.0:1.05:1.10:1.15:1.25,single,General_attack,fire:fire:fire:fire:fire

psychokinesis-wind,念动力场-风,念动力场,,16,psychokinesis-wind_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击100%风元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击105%风元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击110%风元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击115%风元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击125%风元素伤害。,0,伤害,empty:0,empty,1.0:1.05:1.1:1.15:1.25,single,General_attack,wind:wind:wind:wind:wind

psychokinesis-ice,念动力场-冰,念动力场,,16,psychokinesis-ice_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击100%冰元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击105%冰元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击110%冰元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击115%冰元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击125%冰元素伤害。,0,伤害,empty:0,empty,1.0:1.05:1.1:1.15:1.25,single,General_attack,ice:ice:ice:ice:ice

psychokinesis-water,念动力场-水,念动力场,,16,psychokinesis-water_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击100%水元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击105%水元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击110%水元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击115%水元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击125%水元素伤害。,0,伤害,empty:0,empty,1.0:1.05:1.1:1.15:1.25,single,General_attack,water:water:water:water:water

psychokinesis-light,念动力场-雷,念动力场,,16,psychokinesis-light_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击100%雷元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击105%雷元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击110%雷元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击115%雷元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击125%雷元素伤害。,0,伤害,empty:0,empty,1.0:1.05:1.1:1.15:1.25,single,General_attack,light:light:light:light:light

psychokinesis-rock,念动力场-岩,念动力场,,16,psychokinesis-rock_img,60.0,14,0.8,依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击100%岩元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击105%岩元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击110%岩元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击115%岩元素伤害。|依靠强大的精神力操控念波，掀起冲击波攻击敌方目标，造成攻击125%岩元素伤害。,0,伤害,empty:0,empty,1.0:1.05:1.1:1.15:1.25,single,General_attack,rock:rock:rock:rock:rock

aiyi_combat,温柔的祝福,温柔的祝福,,42,aiyi_combat_img,120.0,6,1.5,献祭自身20%当前生命，为全体友方各驱散1个减益或控制效果并提升其10点速度，持续1回合；若被驱散的是控制效果，则为该角色恢复15点能量并提升40%效果抵抗。|献祭自身18%当前生命，为全体友方各驱散1个减益或控制效果并提升其10点速度，持续1回合；若被驱散的是控制效果，则为该角色恢复15点能量并提升40%效果抵抗。|献祭自身16%当前生命，为全体友方各驱散2个减益或控制效果并提升其10点速度，持续1回合；若被驱散的是控制效果，则为该角色恢复15点能量并提升40%效果抵抗。|献祭自身14%当前生命，为全体友方各驱散2个减益或控制效果并提升其15点速度，持续2回合；若被驱散的是控制效果，则为该角色恢复15点能量并提升40%效果抵抗。|献祭自身12%当前生命，为全体友方各驱散2个减益或控制效果并提升其15点速度，持续2回合；若被驱散的是控制效果，则为该角色恢复15点能量并提升40%效果抵抗和获得20%行动提前。,-15,驱散|增益,empty:0|empty:0,empty|empty,0.0,ally,Combat_skills,

aiyi_passive,爱意绵延,,,0,,0.0,0,1.0,每次敌方回合结束后，若自身未处于控制效果影响下，则有15%概率随机为任一友方单位驱散1个减益或控制状态，并有50%概率为其清除元素附着。|每次敌方回合结束后，若自身未处于控制效果影响下，则有20%概率随机为任一友方单位驱散1个减益或控制状态，并有50%概率为其清除元素附着。|每次敌方回合结束后，若自身未处于控制效果影响下，则有25%概率随机为任一友方单位驱散1个减益或控制状态，并有50%概率为其清除元素附着。|每次敌方回合结束后，若自身未处于控制效果影响下，则有30%概率随机为任一友方单位驱散1个减益或控制状态，并有50%概率为其清除元素附着。|每次敌方回合结束后，若自身未处于控制效果影响下，则有30%概率随机为任一友方单位驱散2个减益或控制状态，并有50%概率为其清除元素附着。,0,特殊|驱散,empty:0|empty:0,empty|empty,0.0,single_ally,Passive,

aiyi_breakout,预知未来,预知未来,,33,aiyi_breakout_img,90.0,18,1.0,用强烈的意念感应未知的风险，使场上的友方全体增加30%行动条并提升20%攻击和30%效果命中，持续1回合。|用强烈的意念感应未知的风险，使场上的友方全体增加30%行动条并提升30%攻击和40%效果命中，持续1回合。|用强烈的意念感应未知的风险，使场上的友方全体增加30%行动条并提升40%攻击和50%效果命中，持续1回合。|用强烈的意念感应未知的风险，使场上的友方全体增加30%行动条并提升40%攻击和50%效果命中，持续2回合。|用强烈的意念感应未知的风险，使场上的友方全体增加30%行动条并提升40%攻击和50%效果命中，持续2回合。施放过后行动条最靠前的我方角色获得额外20%攻击加成。,-35,拉条|强攻|命中,0.3:0|0.2:1@0.3:1@0.4:1@0.4:2@0.4:2|0.3:1@0.4:1@0.5:1@0.5:2@0.5:2,order|extend_attack|effect_hitrate,0.0,ally,Break_out,

lhx_combat,魂之殇,魂之殇,,26,lhx_combat_img,150.0,12,1.2,记录我方场上所有队友以及所选择的敌方目标当前生命比例，并降低自身与敌方目标30点速度，持续1回合。若下回合“立花希”行动开始时双方角色均未阵亡，且我方有角色所记录的生命比例小于记录的生命比例，则将该角色的生命恢复至该记录数值比例，最大回复量不超过“立花希”自身生命上限的25%。|记录我方场上所有队友以及所选择的敌方目标当前生命比例，并降低敌方目标30点速度，持续1回合。若下回合“立花希”行动开始时双方角色均未阵亡，且我方有角色所记录的生命比例小于记录的生命比例，则将该角色的生命恢复至该记录数值比例，最大回复量不超过“立花希”自身生命上限的25%。|记录我方场上所有队友以及所选择的敌方目标当前生命比例，并降低敌方目标30点速度，持续1回合。若下回合“立花希”行动开始时双方角色均未阵亡，且我方有角色所记录的生命比例小于记录的生命比例，则将该角色的生命恢复至该记录数值比例，最大回复量不超过“立花希”自身生命上限的35%。|记录我方场上所有队友以及所选择的敌方目标当前生命比例，并降低敌方目标30点速度，持续1回合。若下回合“立花希”行动开始时双方角色均未阵亡，且我方有角色所记录的生命比例小于记录的生命比例，则将该角色的生命恢复至该记录数值比例，最大回复量不超过“立花希”自身生命上限的45%。|记录我方场上所有队友以及所选择的敌方目标当前生命比例，并降低敌方目标30点速度，持续1回合。若下回合“立花希”行动开始时双方角色均未阵亡，且我方有角色所记录的生命比例小于记录的生命比例，则将该角色的生命恢复至该记录数值比例，最大回复量不超过“立花希”自身生命上限的55%。,-60,特殊,empty:0,empty,0.0,single,Combat_skills,

lhx_combat_1,魂之殇,魂之殇,,26,lhx_combat_1_img,120.0,7,1.2,魂殇动画2段,0,特殊,empty:0,empty,0.0,single,Combat_skills,

lhx_passive,再会之音,,,0,,0.0,0,50,处于“咒”状态下的“立花希”受到伤害时，有10%概率降低“接触”效果对应敌方目标100点防御力，持续1回合；另一方面当处于“咒”状态下的敌方单位受到伤害时，有10%概率为“立花希”附加1层风元素护盾，其数值等同于此次伤害的50%，最高不超过“立花希”生命上限的12%，持续1回合。|处于“咒”状态下的“立花希”受到伤害时，有13%概率降低“接触”效果对应敌方目标100点防御力，持续1回合；另一方面当处于“咒”状态下的敌方单位受到伤害时，有13%概率为“立花希”附加1层风元素护盾，其数值等同于此次伤害的50%，最高不超过“立花希”生命上限的12%，持续1回合。|处于“咒”状态下的“立花希”受到伤害时，有16%概率降低“接触”效果对应敌方目标100点防御力，持续1回合；另一方面当处于“咒”状态下的敌方单位受到伤害时，有16%概率为“立花希”附加1层风元素护盾，其数值等同于此次伤害的50%，最高不超过“立花希”生命上限的12%，持续1回合。|处于“咒”状态下的“立花希”受到伤害时，有20%概率降低“接触”效果对应敌方目标100点防御力，持续1回合；另一方面当处于“咒”状态下的敌方单位受到伤害时，有20%概率为“立花希”附加1层风元素护盾，其数值等同于此次伤害的50%，最高不超过“立花希”生命上限的12%，持续1回合。|处于“咒”状态下的“立花希”受到伤害时，有20%概率降低“接触”效果对应敌方目标150点防御力，持续1回合；另一方面当处于“咒”状态下的敌方单位受到伤害时，有20%概率为“立花希”附加1层风元素护盾，其数值等同于此次伤害的100%，最高不超过“立花希”生命上限的18%，持续1回合。,0,特殊,empty:0,empty,0.0,AOE|self,Passive,

lhx_breakout,接触感应,接触感应,,29,lhx_breakout_img,120.0,5,1.0,激活强大的感官灵能控制对方思维，为自身与敌方目标附加1层无法驱散的“咒”效果进入“接触”状态。当立花希自身受到伤害时，对共同持有“咒”的敌方单位造成50%的传导伤害（不会触发被动或装备4件套效果），持续2回合。|激活强大的感官灵能控制对方思维，为自身与敌方目标附加1层无法驱散的“咒”效果进入“接触”状态。当立花希自身受到伤害时，对共同持有“咒”的敌方单位造成60%的传导伤害（不会触发被动或装备4件套效果），持续2回合。|激活强大的感官灵能控制对方思维，为自身与敌方目标附加1层无法驱散的“咒”效果进入“接触”状态。当立花希自身受到伤害时，对共同持有“咒”的敌方单位造成70%的传导伤害（不会触发被动或装备4件套效果），持续2回合。|激活强大的感官灵能控制对方思维，为自身与敌方目标附加1层无法驱散的“咒”效果进入“接触”状态。当立花希自身受到伤害时，对共同持有“咒”的敌方单位造成80%的传导伤害（不会触发被动或装备4件套效果），持续2回合。|激活强大的感官灵能控制对方思维，为自身与敌方目标附加1层无法驱散的“咒”效果进入“接触”状态。当立花希自身受到伤害时，对共同持有“咒”的敌方单位造成100%的传导伤害（不会触发被动或装备4件套效果），持续2回合。同时有12%固定概率降低目标20%治疗效果和护盾强效，持续1回合。,-25,特殊,empty:0,empty,0.0,single,Break_out,

lingyin_combat,降魔诛乱,,,20,,0.0,0,1.0,凝聚灵力发动星天宫封印秘术，以陨铁附着的灵纹发起攻击，对敌方全体造成3次攻击53%物理伤害，最后对选中的敌方目标造成108%风元素伤害。|凝聚灵力发动星天宫封印秘术，以陨铁附着的灵纹发起攻击，对敌方全体造成3次攻击65%物理伤害，最后对选中的敌方目标造成123%风元素伤害。|凝聚灵力发动星天宫封印秘术，以陨铁附着的灵纹发起攻击，对敌方全体造成3次攻击77%物理伤害，最后对选中的敌方目标造成148%风元素伤害。|凝聚灵力发动星天宫封印秘术，以陨铁附着的灵纹发起攻击，对敌方全体造成3次攻击89%物理伤害，最后对选中的敌方目标造成153%风元素伤害。|凝聚灵力发动星天宫封印秘术，以陨铁附着的灵纹发起攻击，对敌方全体造成3次攻击93%物理伤害，最后对选中的敌方目标造成178%风元素伤害。对“鬼”、“神”、“天使”造成的伤害额外增加30%。,-45,伤害,empty:0,empty,0.53:0.65:0.77:0.89:0.93|0.53:0.65:0.77:0.89:0.93|0.53:0.65:0.77:0.89:0.93|1.08:1.23:1.48:1.53:1.78,special,Combat_skills,physical:physical:physical:physical:physical|physical:physical:physical:physical:physical|physical:physical:physical:physical:physical|wind:wind:wind:wind:wind

lingyin_combat_1,降魔诛乱_1,降魔诛乱_1,,20,lingyin_combat_1_img,165.0,15,1.0,技能一段|技能一段|技能一段|技能一段|技能一段,-45,伤害,empty:0,empty,0.53:0.65:0.77:0.89:0.93|0.53:0.65:0.77:0.89:0.93|0.53:0.65:0.77:0.89:0.93,AOE,Combat_skills,physical:physical:physical:physical:physical|physical:physical:physical:physical:physical|physical:physical:physical:physical:physical

lingyin_combat_2,降魔诛乱_2,降魔诛乱_2,,20,lingyin_combat_2_img,120.0,13,0.7,技能二段|技能二段|技能二段|技能二段|技能二段,-45,伤害,empty:0,empty,1.08:1.23:1.48:1.53:1.78,single,Combat_skills,wind:wind:wind:wind:wind

lingyin_passive,天宫罗阵,,,0,,0.0,0,1.0,每次我方其他角色攻击阶段结束后，若“铃音”未处于无法行动状态则有20%概率触发“协战”，立刻对选中的目标追加1次普攻。|每次我方其他角色攻击阶段结束后，若“铃音”未处于无法行动状态则有25%概率触发“协战”，立刻对选中的目标追加1次普攻。|每次我方其他角色攻击阶段结束后，若“铃音”未处于无法行动状态则有30%概率触发“协战”，立刻对选中的目标追加1次普攻。|每次我方其他角色攻击阶段结束后，若“铃音”未处于无法行动状态则有35%概率触发“协战”，立刻对选中的目标追加1次普攻。|每次我方其他角色攻击阶段结束后，若“铃音”未处于无法行动状态则有40%概率触发“协战”，立刻对选中的目标追加1次普攻。,0,协战,empty:0,empty,0.0,self,Passive,

lingyin_breakout,远隔透视,远隔透视,,34,lingyin_breakout_img,120.0,17,1.0,提前洞察对方行动，使场上的全体友方单位提升15%攻击、40点元素精通持续2回合，并击退敌方全体10%行动条。|提前洞察对方行动，使场上的全体友方单位提升20%攻击、60点元素精通持续2回合，并击退敌方全体20%行动条。|提前洞察对方行动，使场上的全体友方单位提升25%攻击、80点元素精通持续2回合，并击退敌方全体30%行动条。|提前洞察对方行动，使场上的全体友方单位提升30%攻击、120点元素精通持续2回合，并击退敌方全体40%行动条。|提前洞察对方行动，使场上的全体友方单位提升30%攻击、120点元素精通持续2回合，并击退敌方全体40%行动条，并驱散所有增益效果。,-50,群体推条|强攻|精通,0.1:0@0.2:0@0.3:0@0.4:0@0.4:0|0.15:2@0.2:2@0.25:2@0.3:2@0.35:2|40:2@60:2@80:2@120:2@120:2,order|extend_attack|elemental_mastery,0.0,ally,Break_out,

liuli_combat,不知火,不知火,,26,liuli_combat_img,90.0,15,1.0,利用灵压操控大气中的温度，对敌方目标造成263%火元素伤害，对生命比例高于80%的目标，此次伤害倍率降低15%。|利用灵压操控大气中的温度，对敌方目标造成276%火元素伤害，对生命比例高于80%的目标，此次伤害倍率降低15%。|利用灵压操控大气中的温度，对敌方目标造成276%火元素伤害，对生命比例高于80%的目标，此次伤害倍率降低15%。对生命的比例低于50%的目标，伤害提升15%。|利用灵压操控大气中的温度，对敌方目标造成289%火元素伤害，对生命比例高于80%的目标，此次伤害倍率降低15%。对生命的比例低于50%的目标，伤害提升15%。|利用灵压操控大气中的温度，对敌方目标造成289%火元素伤害，对生命比例高于80%的目标，此次伤害倍率降低15%。对生命的比例低于50%的目标，伤害提升15%。若自身生命比例低于10%，则额外免能量释放一次“冥火”。,-45,伤害,empty:0,empty,2.63:2.76:2.76:2.89:2.89,single,Combat_skills,fire:fire:fire:fire:fire

liuli_passive,精准掌握,,,0,,0.0,0,1.0,普攻之后有20%概率附加一段攻击60%火元素伤害。在施放“不知火”时，有30%概率降低目标25%火元素伤害抗性和50点元素精通，持续2回合。在施放“冥火”时，有8%固定概率使目标眩晕1回合。|普攻之后有25%概率附加一段攻击60%火元素伤害。在施放“不知火”时，有30%概率降低目标30%火元素伤害抗性和50点元素精通，持续2回合。在施放“冥火”时，有10%固定概率使目标眩晕1回合。|普攻之后有30%概率附加一段攻击60%火元素伤害。在施放“不知火”时，有30%概率降低目标30%火元素伤害抗性和70点元素精通，持续2回合。在施放“冥火”时，有12%固定概率使目标眩晕1回合。|普攻之后有30%概率附加一段攻击80%火元素伤害。在施放“不知火”时，有30%概率降低目标35%火元素伤害抗性和80点元素精通，持续2回合。在施放“冥火”时，有15%固定概率使目标眩晕1回合。|普攻之后有30%概率附加一段攻击100%火元素伤害。在施放“不知火”时，有30%概率降低目标35%火元素伤害抗性和80点元素精通，持续2回合。在施放“冥火”时，有15%固定概率使目标眩晕1回合。,0,特殊|减益,empty:0|empty:0,empty|empty,0.0,self,Passive,

liuli_breakout,冥火,冥火,,54,liuli_breakout_img,100.0,14,1.0,释放强烈的火焰攻击对手，对敌方全体造成攻击131%火元素伤害，对生命比例低于50%的目标，此次伤害倍率降低15%。|释放强烈的火焰攻击对手，对敌方全体造成攻击138%火元素伤害，对生命比例低于50%的目标，此次伤害倍率降低15%。|释放强烈的火焰攻击对手，对敌方全体造成攻击138%火元素伤害，对生命比例低于50%的目标，此次伤害倍率降低15%。对生命比例高于80%的目标，伤害提升15%。|释放强烈的火焰攻击对手，对敌方全体造成攻击145%火元素伤害，对生命比例低于50%的目标，此次伤害倍率降低15%。对生命比例高于80%的目标，伤害提升15%。|释放强烈的火焰攻击对手，对敌方全体造成攻击145%火元素伤害，对生命比例低于50%的目标，此次伤害倍率降低15%。对生命比例高于80%的目标，伤害提升15%。若自身生命比例低于10%，则额外免能量释放一次“不知火”。,-45,伤害,empty:0,empty,1.31:1.38:1.38:1.45:1.45,AOE,Break_out,fire:fire:fire:fire:fire

lst_combat,星空梦影,星空梦影,,40,lst_combat_img,120.0,20,1.0,开启持续1回合的星空结界，期间场上所有友方单位获得“星桥”吸收15%直接伤害（不包括元素反应伤害和间接伤害），同时使得下一次的伤害减免10%。|开启持续1回合的星空结界，期间场上所有友方单位获得“星桥”吸收20%直接伤害（不包括元素反应伤害和间接伤害），同时使得下一次的伤害减免15%。|开启持续1回合的星空结界，期间场上所有友方单位获得“星桥”吸收25%直接伤害（不包括元素反应伤害和间接伤害），同时使得下一次的伤害减免20%。|开启持续1回合的星空结界，期间场上所有友方单位获得“星桥”吸收30%直接伤害（不包括元素反应伤害和间接伤害），同时使得下一次的伤害减免25%。|开启持续2回合的星空结界，期间场上所有友方单位获得“星桥”吸收30%直接伤害（不包括元素反应伤害和间接伤害），同时使得下一次的伤害减免30%。,-30,特殊|减伤,empty:0|0.35:0,empty|empty,0.0,ally,Combat_skills,

lst_passive,守护誓约,,,0,,0.0,0,1.0,处于“星桥”影响下的友方单位受到伤害时，降低施术者10%攻击力和20%暴击率，持续1回合。“雷亚”在受到致命伤害时进入“架星之梦”形态，以100%生命重生并提升30%暴击率直至再次死亡。（一场战斗只会触发一次）|处于“星桥”影响下的友方单位受到伤害时，降低施术者15%攻击力和30%暴击率，持续1回合。“雷亚”在受到致命伤害时进入“架星之梦”形态，以100%生命重生并提升30%暴击率直至再次死亡。（一场战斗只会触发一次）|处于“星桥”影响下的友方单位受到伤害时，降低施术者15%攻击力和30%暴击率，持续1回合。若队友生命值低于上限的30%时，则雷亚将为其承担该次伤害。“雷亚”在受到致命伤害时进入“架星之梦”形态，以100%生命重生并提升30%暴击率直至再次死亡。（一场战斗只会触发一次）|处于“星桥”影响下的友方单位受到伤害时，提升10点速度和20%效果抵抗，同时降低施术者15%攻击力和30%暴击率，持续1回合。若队友生命值低于上限的30%时，则雷亚将为其承担该次伤害。“雷亚”在受到致命伤害时进入“架星之梦”形态，以100%生命重生并提升30%暴击率直至再次死亡。（一场战斗只会触发一次）|处于“星桥”影响下的友方单位受到伤害时，提升20点速度和30%效果抵抗，同时降低施术者15%攻击力和30%暴击率，持续1回合。若队友生命值低于上限的30%时，则雷亚将为其承担该次伤害。“雷亚”在受到致命伤害时进入“架星之梦”形态，以100%生命重生并提升30%暴击率直至再次死亡。（一场战斗只会触发一次）,0,特殊|减伤,empty:0|empty:0,empty|empty,0.0,single_ally,Passive,

lst_breakout_1,空间跳跃,星空梦影,,40,,0.0,0,1.0,永久提升60点速度。主动施放：立刻施放“星空梦影”，并展开能提升友方全体10%攻击、20点速度和10%全属性伤害减免的结界持续1回合。结界中的友方在其回合进行普攻时，有50%概率对同一目标再额外追加一次普攻。进入“架星之梦”状态时，技能替换为“星陨离殇”，等级随“空间跳跃”技能强化。|永久提升60点速度。主动施放：立刻施放“星空梦影”，并展开能提升友方全体10%攻击、20点速度和10%全属性伤害减免的结界持续1回合。结界中的友方在其回合进行普攻时，有50%概率对同一目标再额外追加一次普攻。额外普攻无视150防御并附带20%吸血。进入“架星之梦”状态时，技能替换为“星陨离殇”，等级随“空间跳跃”技能强化。|永久提升60点速度。主动施放：立刻施放“星空梦影”，并展开能提升友方全体15%攻击、25点速度和15%全属性伤害减免的结界持续1回合。结界中的友方在其回合进行普攻时，有50%概率对同一目标再额外追加一次普攻。额外普攻无视150防御并附带30%吸血。进入“架星之梦”状态时，技能替换为“星陨离殇”，等级随“空间跳跃”技能强化。|永久提升60点速度。主动施放：立刻施放“星空梦影”，并展开能提升友方全体15%攻击、25点速度和15%全属性伤害减免的结界持续1回合。结界中的友方在其回合进行普攻时，有100%概率对同一目标再额外追加一次普攻。额外普攻无视150防御并附带40%吸血。进入“架星之梦”状态时，技能替换为“星陨离殇”，等级随“空间跳跃”技能强化。|永久提升60点速度。主动施放：立刻施放“星空梦影”，并展开能提升友方全体15%攻击、25点速度和15%全属性伤害减免的结界持续2回合。结界中的友方在其回合进行普攻时，有100%概率对同一目标再额外追加一次普攻。额外普攻无视150防御并附带40%吸血。进入“架星之梦”状态时，技能替换为“星陨离殇”，等级随“空间跳跃”技能强化。【先机】：施放“空间跳跃”,-60,特殊|减伤|增益,empty:0|empty:0|empty:0,empty|empty|empty,0.0,special,Break_out,

lst_breakout_1_1,空间跳跃,星空梦影,,40,,0.0,0,1.0,增益阶段|增益阶段|增益阶段|增益阶段|增益阶段,-60,强攻|属性抗效|加速,0.1:1@0.1:1@0.15:1@0.15:1@0.15:2|0.1/0.1/0.1/0.1/0.1/0.1/0.1:1@0.1/0.1/0.1/0.1/0.1/0.1/0.1:1@0.15/0.15/0.15/0.15/0.15/0.15/0.15:1@0.15/0.15/0.15/0.15/0.15/0.15/0.15:1@0.15/0.15/0.15/0.15/0.15/0.15/0.15:2|20:1@20:1@25:1@25:1@25:2,extend_attack|speed|element_resistance,0.0,ally,Break_out,

